approach,f1,f1,f1,precision,precision,precision,recall,recall,recall
,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10
algorithm_centroid_sliding_window,0.002702797768318118,0.5228928382399001,0.5355401761237251,0.0025196189076402194,0.48745439752237474,0.4993176032125141,0.002914699497517951,0.5638880876838765,0.5774292957660954
algorithm_gradient_boosting,0.24247517581255243,0.24937939592012384,0.252172114165883,0.8174527068259088,0.840728794350972,0.8501438409903235,0.14234967285534286,0.14640292684407877,0.1480424453114326
algorithm_hmm-gem,0.05725787349968892,0.7622701080880542,0.7716315415082136,0.05963793018399461,0.7939556374040153,0.8037062005689198,0.05506049519530005,0.7330165621726655,0.7420187330165622
algorithm_hsw,0.6562548021598378,0.7335107285920084,0.7509968375688042,0.7022919263259936,0.7849674560310206,0.8036802381941559,0.615882076116163,0.688385226116922,0.70479559151701
asw,0.5174333087691237,0.5589356153814123,0.5783553190949393,0.5755908000669356,0.621757804510719,0.643493297138501,0.46994975179512094,0.5076434958177098,0.5251924157090159
sspe,0.7289759827437655,0.7934838889053939,0.8039988847232933,0.7669203177902182,0.834785960913144,0.845848278636318,0.6946093240022467,0.7560760858014665,0.7660953653241844
temporal-dbscan,0.6506968994641177,0.691741829020066,0.7090067552390698,0.6689643011717936,0.7116682429508039,0.7304233525159097,0.6334006345543698,0.6729008850363578,0.68881028646031
temporal-dbscan-sweep,0.6840246931359735,0.7291210409159219,0.7431178043191699,0.7252547245232952,0.7732569018013574,0.7884298082974707,0.6472302764410305,0.6897514915063835,0.7027310127062681
ti_baseline,0.002657483793818983,0.018708888862310053,0.0345658804438841,0.0014498307377950675,0.010206919068179398,0.018858867001548055,0.01590940142395215,0.11200340048274711,0.20682221851137794
ti_dropout_filter,0.0026604926835523913,0.01870468529510015,0.03456693556636293,0.001451622062993195,0.010205678778753682,0.018861390870017494,0.01590940142395215,0.11185159321725138,0.20659450761313436
Trackintel_Hyperband_Search ,0.00013075629401962654,0.7477138070029642,0.7596126342820063,0.00014161297174821214,0.8097960773206826,0.8226828577497699,0.0001214458123965813,0.6944726974633006,0.7055242663913895
